1,2024-01-25,191,9,EMEA,12,48.45,581.4,283.16,298.24
2,2024-01-16,56,12,LATAM,5,24.28,121.4,72.22,49.18
3,2024-01-20,195,9,North America,5,48.45,242.25,156.52,85.73
4,2024-01-10,214,4,North America,4,273.62,1258.65,657.24,601.41
5,2024-01-23,78,1,North America,9,26.63,239.67,113.92,125.75
6,2024-01-18,12,1,EMEA,5,26.63,133.15,78.49,54.66
7,2024-01-28,33,11,North America,8,17.21,137.68,64.78,72.9
8,2024-01-10,4,10,EMEA,8,26.66,213.28,116.4,96.88
9,2024-01-02,88,3,LATAM,5,41.83,209.15,133.48,75.67
10,2024-01-27,123,2,APAC,2,27.58,55.16,29.24,25.92
11,2024-01-21,19,10,North America,11,26.66,293.26,135.11,158.15
12,2024-01-19,39,13,APAC,5,156.78,783.9,366.11,417.79
13,2024-01-18,64,2,North America,7,27.58,193.06,110.29,82.77
14,2024-01-08,203,10,LATAM,9,26.66,239.94,126.23,113.71
15,2024-01-28,114,5,North America,10,202.27,2326.11,1507.33,818.78
16,2024-01-20,79,10,APAC,1,26.66,26.66,15.25,11.41
17,2024-01-25,190,2,North America,4,27.58,110.32,63.45,46.87
18,2024-01-03,68,11,APAC,3,17.21,51.63,25.71,25.92
19,2024-01-06,142,2,LATAM,1,27.58,27.58,14.66,12.92
20,2024-01-16,177,10,EMEA,5,26.66,133.3,60.86,72.44
21,2024-01-10,74,12,North America,12,24.28,291.36,181.2,110.16
22,2024-01-08,19,11,North America,5,17.21,86.05,52.28,33.77
23,2024-01-22,161,10,APAC,4,26.66,106.64,57.06,49.58
24,2024-01-21,140,4,LATAM,3,273.62,943.99,596.3,347.69
25,2024-01-03,212,3,APAC,1,41.83,41.83,20.21,21.62
26,2024-01-24,79,10,APAC,10,26.66,266.6,169.09,97.51
27,2024-01-15,113,2,EMEA,12,27.58,330.96,169.06,161.9
28,2024-01-17,104,5,North America,9,202.27,2093.49,1148.82,944.67
29,2024-01-02,21,10,North America,7,26.66,186.62,111.39,75.23
30,2024-01-01,155,5,APAC,2,202.27,465.22,230.65,234.57
31,2024-01-28,173,14,North America,10,117.23,1172.3,665.19,507.11
32,2024-01-22,6,13,North America,5,156.78,783.9,443.1,340.8
33,2024-01-06,196,13,North America,8,156.78,1254.24,694.59,559.65
34,2024-01-09,114,15,North America,3,52.59,157.77,102.45,55.32
35,2024-01-27,112,11,LATAM,8,17.21,137.68,88.64,49.04
36,2024-01-14,121,6,APAC,6,193.66,1161.96,597.49,564.47
37,2024-01-06,27,14,EMEA,6,117.23,703.38,374.43,328.95
38,2024-01-22,127,5,APAC,7,202.27,1628.27,997.66,630.61
39,2024-01-15,141,1,North America,2,26.63,53.26,27.32,25.94
40,2024-01-25,83,2,APAC,7,27.58,193.06,120.27,72.79
41,2024-01-22,212,1,APAC,9,26.63,239.67,130.0,109.67
42,2024-01-17,14,4,North America,6,273.62,1887.98,1084.7,803.28
43,2024-01-15,128,11,North America,1,17.21,17.21,8.45,8.76
44,2024-01-10,141,3,North America,8,41.83,334.64,209.54,125.1
45,2024-01-01,125,2,APAC,11,27.58,303.38,173.46,129.92
46,2024-01-06,62,12,North America,5,24.28,121.4,68.0,53.4
47,2024-01-03,142,7,LATAM,4,33.37,153.5,99.54,53.96
48,2024-01-04,30,8,EMEA,11,36.89,405.79,250.14,155.65
49,2024-01-23,128,15,North America,5,52.59,262.95,145.09,117.86
50,2024-01-27,70,7,APAC,8,33.37,307.0,198.34,108.66
51,2024-01-18,63,8,APAC,3,36.89,110.67,58.29,52.38
52,2024-01-24,154,9,EMEA,3,48.45,145.35,90.52,54.83
53,2024-01-26,71,13,EMEA,7,156.78,1097.46,568.46,529.0
54,2024-01-09,202,9,LATAM,1,48.45,48.45,24.54,23.91
55,2024-01-19,77,14,LATAM,10,117.23,1172.3,761.74,410.56
56,2024-01-05,126,14,North America,8,117.23,937.84,523.05,414.79
57,2024-01-18,89,6,North America,9,193.66,1742.94,915.81,827.13
58,2024-01-07,83,14,APAC,12,117.23,1406.76,700.23,706.53
59,2024-01-28,99,4,EMEA,7,273.62,2202.64,1010.42,1192.22
60,2024-01-23,191,8,EMEA,7,36.89,258.23,136.14,122.09
61,2024-01-27,170,13,APAC,11,156.78,1724.58,1114.36,610.22
62,2024-01-05,127,1,APAC,9,26.63,239.67,154.12,85.55
63,2024-01-04,85,14,APAC,8,117.23,937.84,440.73,497.11
64,2024-01-24,117,1,North America,3,26.63,79.89,42.5,37.39
65,2024-01-03,168,3,APAC,8,41.83,334.64,202.89,131.75
66,2024-01-20,68,6,APAC,12,193.66,2323.92,1230.51,1093.41
67,2024-01-11,21,14,North America,11,117.23,1289.53,801.92,487.61
68,2024-01-21,98,6,LATAM,12,193.66,2323.92,1458.23,865.69
69,2024-01-18,125,14,APAC,1,117.23,117.23,67.23,50.0
70,2024-01-22,61,11,EMEA,5,17.21,86.05,55.89,30.16
71,2024-01-14,192,2,North America,2,27.58,55.16,33.21,21.95
72,2024-01-04,181,14,APAC,8,117.23,937.84,453.23,484.61
73,2024-01-01,77,15,LATAM,1,52.59,52.59,27.08,25.51
74,2024-01-12,15,5,EMEA,6,202.27,1395.66,748.27,647.39
75,2024-01-14,63,9,APAC,10,48.45,484.5,284.09,200.41
76,2024-01-06,47,3,LATAM,2,41.83,83.66,47.85,35.81
77,2024-01-22,98,10,LATAM,4,26.66,106.64,58.6,48.04
78,2024-01-08,150,3,EMEA,8,41.83,334.64,193.28,141.36
79,2024-01-22,118,5,APAC,1,202.27,232.61,146.49,86.12
80,2024-01-10,120,15,APAC,11,52.59,578.49,323.56,254.93
81,2024-01-12,19,8,North America,10,36.89,368.9,188.08,180.82
82,2024-01-09,109,12,LATAM,8,24.28,194.24,120.25,73.99
83,2024-01-28,51,7,LATAM,8,33.37,307.0,144.7,162.3
84,2024-01-12,98,10,LATAM,10,26.66,266.6,135.75,130.85
85,2024-01-01,180,5,EMEA,11,202.27,2558.72,1353.98,1204.74
86,2024-01-28,3,10,APAC,11,26.66,293.26,177.62,115.64
87,2024-01-20,13,15,EMEA,12,52.59,631.08,346.68,284.4
88,2024-01-26,74,13,North America,4,156.78,627.12,358.34,268.78
89,2024-01-21,91,4,North America,4,273.62,1258.65,722.69,535.96
90,2024-01-24,174,13,North America,11,156.78,1724.58,1010.9,713.68
91,2024-01-04,36,11,EMEA,11,17.21,189.31,109.66,79.65
92,2024-01-15,80,13,EMEA,1,156.78,156.78,88.72,68.06
93,2024-01-03,188,3,EMEA,5,41.83,209.15,107.78,101.37
94,2024-01-07,107,3,APAC,3,41.83,125.49,76.21,49.28
95,2024-01-17,94,9,APAC,5,48.45,242.25,149.25,93.0
96,2024-01-27,66,15,EMEA,8,52.59,420.72,270.72,150.0
97,2024-01-28,76,12,North America,6,24.28,145.68,88.99,56.69
98,2024-01-05,120,2,APAC,4,27.58,110.32,68.62,41.7
99,2024-01-13,186,11,APAC,9,17.21,154.89,81.03,73.86
100,2024-01-01,203,7,LATAM,5,33.37,191.88,106.94,84.94
101,2024-01-22,117,6,North America,12,193.66,2323.92,1358.26,965.66
102,2024-01-27,150,7,EMEA,11,33.37,422.13,269.34,152.79
